date,category,count
2026-06-27,phishing,2
2026-06-27,ransomware_malware,398
2026-06-28,ransomware_malware,378
2026-06-29,ransomware_malware,524
2026-06-29,web_attack,2
2026-06-30,ddos_extortion,2
2026-06-30,ransomware_malware,426
2026-07-01,ransomware_malware,357
2026-07-02,ransomware_malware,894
2026-07-03,ransomware_malware,419
2026-07-04,ransomware_malware,737
2026-07-05,ddos_extortion,1
2026-07-05,ransomware_malware,293
2026-07-06,ransomware_malware,339
2026-07-07,ransomware_malware,1468
2026-07-08,ransomware_malware,377
2026-07-09,ransomware_malware,417
2026-07-10,ransomware_malware,167
2026-07-11,ransomware_malware,588
2026-07-12,ransomware_malware,443
2026-07-12,web_attack,1
2026-07-13,ransomware_malware,350
2026-07-14,ransomware_malware,503
2026-07-15,phishing,1
2026-07-15,ransomware_malware,401
2026-07-16,ransomware_malware,451
2026-07-17,ransomware_malware,419
2026-07-18,ransomware_malware,615
2026-07-19,ransomware_malware,453
2026-07-20,ransomware_malware,423
2026-07-21,ransomware_malware,590
2026-07-22,ransomware_malware,414
2026-07-23,ddos_extortion,1
2026-07-23,ransomware_malware,599
2026-07-24,phishing,1
2026-07-24,ransomware_malware,429
2026-07-25,ransomware_malware,256
2026-07-26,ransomware_malware,705
2026-07-27,ddos_extortion,100
2026-07-27,ransomware_malware,466
2026-07-28,ddos_extortion,112
2026-07-28,ransomware_malware,398
2026-07-29,phishing,1
2026-07-29,ransomware_malware,827
2026-07-30,ransomware_malware,364
2026-07-31,ransomware_malware,466
2026-08-01,ransomware_malware,398
2026-08-02,ransomware_malware,449
2026-08-03,ddos_extortion,1
2026-08-03,ransomware_malware,733
2026-08-04,ransomware_malware,643
2026-08-05,ransomware_malware,458
2026-08-06,ddos_extortion,5
2026-08-06,ransomware_malware,799
2026-08-07,ransomware_malware,329
2026-08-07,web_attack,3
2026-08-08,ddos_extortion,9
2026-08-08,ransomware_malware,1287
2026-08-09,ransomware_malware,361
2026-08-10,ransomware_malware,858
2026-08-11,phishing,1
2026-08-11,ransomware_malware,1087
2026-08-12,ransomware_malware,583
2026-08-13,ddos_extortion,200
2026-08-13,ransomware_malware,420
2026-08-14,ddos_extortion,8
2026-08-14,ransomware_malware,482
2026-08-15,ddos_extortion,100
2026-08-15,ransomware_malware,293
2026-08-16,ransomware_malware,449
2026-08-16,web_attack,2
2026-08-17,ddos_extortion,100
2026-08-17,ransomware_malware,472
2026-08-18,ddos_extortion,100
2026-08-18,ransomware_malware,448
2026-08-19,phishing,2
2026-08-19,ransomware_malware,450
2026-08-20,ransomware_malware,377
2026-08-21,ddos_extortion,4
2026-08-21,ransomware_malware,345
2026-08-22,ransomware_malware,406
2026-08-22,web_attack,5
2026-08-23,ransomware_malware,273
2026-08-24,ransomware_malware,387
2026-08-25,ransomware_malware,360
2026-08-26,ddos_extortion,100
2026-08-26,ransomware_malware,17
